대분류,중분류,소분류,세부기능,기능 설명,우선순위,현재 구현 여부
커뮤니티,팬톡 관리,모더레이션,사용자 차단/경고,문제 사용자 차단 및 경고 기능,High,X
커뮤니티,팬톡 관리,모더레이션,채팅 로그 관리,채팅 기록 저장 및 관리,Medium,X
커뮤니티,팬톡 관리,통계,통계,"오늘의 활동, 자동 차단 현황, 채팅방별 현황",Medium,X
커뮤니티,회원 관리,대시보드,총 팬 수,모든 팬 수,Medium,X
커뮤니티,회원 관리,대시보드,등급별 팬 수,등급별 팬 수,Medium,X
커뮤니티,회원 관리,대시보드,활동 상태 레벨 분포,레벨변 팬 분포 수,Medium,X
커뮤니티,회원 관리,팬 목록,전체 팬 목록 조회,모든 팬의 목록 및 기본 정보 조회,Medium,X
커뮤니티,회원 관리,팬 목록,등급별 필터링,멤버십 등급별로 팬 목록 필터링,High,X
커뮤니티,회원 관리,팬 목록,활동 상태별 정렬,"최근 활동, 가입일 등으로 정렬",Medium,X
커뮤니티,회원 관리,팬 목록,팬 검색 기능,"팬 이름, ID로 검색 기능",Medium,O
커뮤니티,회원 관리,개별 관리,개별 메시지 발송,특정 팬에게 개인 메시지 발송,Medium,O
커뮤니티,회원 관리,개별 관리,팬 정보 상세 내역,팬 정보 상세 내역 보기,Low,X
커뮤니티,메시지 관리,받은 메시지,받은 메시지 목록,팬들이 보낸 메시지 목록 확인,High,X
커뮤니티,메시지 관리,팬 메시지,메시지 답장,팬 메시지에 대한 답변 기능,High,X
커뮤니티,메시지 관리,팬 메시지,메시지 분류/라벨링,메시지 카테고리 분류 및 라벨 관리,Medium,X
커뮤니티,메시지 관리,팬 메시지,중요 메시지 표시,중요한 메시지 별도 표시 기능,Medium,X
커뮤니티,메시지 관리,일괄 메시지,전체 팬에게 발송,모든 팬에게 동시 메시지 발송,High,O
커뮤니티,메시지 관리,일괄 메시지,등급별 발송,멤버십 등급별 메시지 발송,High,O
커뮤니티,메시지 관리,템플릿,메시지 템플릿 관리,자주 사용하는 메시지 템플릿 관리,Medium,X
커뮤니티,메시지 관리,자동 메시지,자동화 메시지 발송,"신규 가입, 구독 기념일 등 특정 조건에 맞춰 팬에게 자동으로 메시지가 발송되도록 설정.",Medium,X
커뮤니티,메시지 관리,발송 통계,통계,발송 통계 및 최근 발송 이력,Medium,X
커뮤니티,게시판 관리,대시보드,대시보드,각 게시글 유형별 개수 및 조회수,Medium,X
커뮤니티,게시판 관리,게시글 목록,게시글 전체 목록,"공지사항, 투표, 일반 게시글 목록",Medium,X
커뮤니티,게시판 관리,게시글 목록,새 게시글 작성,유형에 맞는 게시글 작성,Medium,X
커뮤니티,게시판 관리,게시글 목록,게시글 검색,"제목이나 타입, 게시글 조회 대상별 검색",Medium,X
커뮤니티,게시판 관리,게시글 관리,게시글 고정/삭제,중요 게시글 고정 및 불필요 글 삭제,Medium,X
커뮤니티,이벤트 관리,이벤트 목록,이벤트 전체 목록,이벤트 전체 목록,Medium,X
커뮤니티,이벤트 관리,이벤트 목록,새 이벤트 생성,이벤트 유형에 맞는 새 이벤트 생성,Medium,X
커뮤니티,이벤트 관리,이벤트 목록,이벤트 검색,제목이나 상태값에 따른 검색,Medium,X
커뮤니티,이벤트 관리,이벤트 목록,참여자 보기,이벤트 참여자 상세 보기,Medium,X
커뮤니티,이벤트 관리,템플릿,이벤트 템플릿 목록,이벤트 템플릿 목록,Medium,X
커뮤니티,이벤트 관리,템플릿,이벤트 템플릿 생성,이벤트 템플릿 생성,Medium,X
커뮤니티,이벤트 관리,통계,이벤트 통계,"총 이벤트, 평균 참여율, 참여자, 당첨자 수",Medium,X
커뮤니티,이벤트 관리,통계,이벤트별 성과,각 이벤트별 성과,Medium,X
정산,정산 관리,대시보드,대시보드,"정산 가능 금액 및 이번달 수익, 다음 정산일 보기",High,O
정산,정산 관리,정산 신청,정산 신청 프로세스,정산 신청 절차 및 처리,High,X
정산,정산 관리,정산 신청,정산 정보 등록,정산 받을 계좌 정보 및 사업자 여부에 따른 추가 정보 등록,High,O
정산,정산 관리,정산 신청,정산 주기 설정,정산 신청 주기 설정 (주간/월간),Medium,X
정산,정산 관리,정산 내역,정산 히스토리,과거 정산 내역 조회,High,X
정산,정산 관리,정산 내역,정산 상태 추적,정산 신청 상태 및 진행 현황,High,X
정산,정산 관리,정산 내역,정산 보고서 다운로드,정산 상세 내역서 다운로드,Medium,O
정산,세금 관리,세금 정보,세금계산서 발행,세금계산서 자동 발행 기능,Medium,X
정산,세금 관리,세금 정보,소득 증명서 다운로드,플랫폼 소득 증명서 발급,Medium,X
정산,세금 관리,세금 정보,세무 관련 안내,세금 신고 관련 가이드 및 안내,Low,X
알림,알림 센터,실시간 알림,새 팬 가입 알림,신규 팬 가입 시 실시간 알림,High,X
알림,알림 센터,실시간 알림,댓글/반응 알림,"새로운 댓글, 좋아요 등 반응 알림",High,X
알림,알림 센터,실시간 알림,수익 발생 알림,"새로운 구매, 후원 발생 시 알림",High,X
알림,알림 센터,실시간 알림,시스템 공지사항,플랫폼 시스템 관련 공지 알림,Medium,X
알림,알림 센터,알림 설정,알림 타입별 on/off,알림 종류별 수신 여부 설정,High,X
알림,알림 센터,알림 설정,알림 수신 시간 설정,알림 받을 시간대 설정,Medium,X
알림,알림 센터,알림 설정,이메일 알림 설정,이메일로 알림 수신 여부 설정,Medium,X
알림,알림 센터,알림 설정,모바일 푸시 설정,모바일 앱 푸시 알림 설정,Medium,X
알림,알림 센터,알림 설정,팬 자동 알림 on/off,팬에게 보내는 자동 알림 on/off,Medium,X
채널 설정,기본 정보,채널 정보,채널명 변경,채널 이름 수정 기능,High,O
채널 설정,기본 정보,채널 정보,채널 설명 편집,채널 소개 및 설명 편집,High,O
채널 설정,기본 정보,채널 정보,카테고리 변경,채널 카테고리 변경,Medium,O
채널 설정,기본 정보,채널 정보,태그 관리,채널 검색용 태그 관리,Medium,X
채널 설정,기본 정보,비주얼 브랜딩,프로필 이미지 변경,채널 대표 이미지 변경,High,O
채널 설정,기본 정보,비주얼 브랜딩,배너 이미지 설정,채널 상단 배너 이미지 설정,High,O
채널 설정,기본 정보,비주얼 브랜딩,모바일용배너 이미지 설정,채널 상단 배너 이미지(모바일용) 설정,High,O
채널 설정,기본 정보,연결 정보,소셜 미디어 링크,외부 SNS 계정 연결,Medium,O
채널 설정,기본 정보,연결 정보,공식 웹사이트,크리에이터 공식 웹사이트 링크,Medium,O
채널 설정,기본 정보,연결 정보,연락처 정보,비즈니스 연락처 정보,Medium,O
채널 설정,기본 정보,연결 정보,비즈니스 정보,사업자 정보 및 비즈니스 관련 정보,Low,X
채널 설정,디자인,레이아웃 설정,페이지 템플릿 선택,채널 홈 페이지 레이아웃 템플릿,Medium,X
채널 설정,디자인,레이아웃 설정,섹션 배치 설정,홈 페이지 섹션 순서 및 배치,Medium,X
채널 설정,디자인,레이아웃 설정,그리드 레이아웃 조정,콘텐츠 그리드 레이아웃 설정,Low,X
채널 설정,디자인,디자인 설정,브랜드 컬러 설정,채널 테마 색상 설정,Medium,X
채널 설정,디자인,디자인 설정,채널 테마 선택,미리 정의된 디자인 테마 선택,Medium,X
채널 설정,디자인,디자인 설정,폰트 선택,채널에서 사용할 폰트 설정,Low,X
채널 설정,정책 설정,공개 설정,채널 공개 범위,채널 전체 공개/비공개 설정,High,O
채널 설정,정책 설정,공개 설정,콘텐츠 기본 공개 설정,새 콘텐츠의 기본 공개 범위,High,X
채널 설정,정책 설정,공개 설정,검색 노출 여부,검색 엔진에서 채널 노출 여부,Medium,X
채널 설정,정책 설정,공개 설정,연령 제한 설정,성인 콘텐츠 등 연령 제한 설정 / 19세 이상 선택 시 본인 인증,High,O
채널 설정,정책 설정,커뮤니티 정책,댓글 정책,댓글 허용 범위 및 정책 설정,Medium,X
채널 설정,정책 설정,커뮤니티 정책,팬 가입 승인 방식,자동/수동 팬 가입 승인 설정,Medium,X
채널 설정,정책 설정,커뮤니티 정책,커뮤니티 가이드라인,커뮤니티 이용 규칙 및 가이드라인,Medium,X
고급 설정,보안 설정,계정 보안,비밀번호 변경,크리에이터 계정 비밀번호 변경,High,O
고급 설정,보안 설정,계정 보안,2단계 인증 설정,계정 보안 강화를 위한 2FA 설정,Medium,X
고급 설정,보안 설정,계정 보안,로그인 히스토리,계정 접속 기록 및 이력 확인,Medium,O
고급 설정,보안 설정,계정 보안,접근 권한 관리,계정별 기능 접근 권한 설정,Low,X
고급 설정,API 연동,외부 서비스 연동,소셜 미디어 자동 연동,SNS 계정과 자동 연동 기능,Low,X
고급 설정,API 연동,외부 서비스 연동,이메일 마케팅 도구,외부 이메일 마케팅 서비스 연동,Low,X
고급 설정,API 연동,외부 서비스 연동,분석 도구 연동,구글 애널리틱스 등 분석 도구 연동,Low,X
고급 설정,API 연동,외부 서비스 연동,결제 시스템 연동,외부 결제 시스템 연동,Medium,X
고급 설정,API 연동,개발자 도구,API 키 관리,외부 API 접근을 위한 키 관리,Low,X
고급 설정,API 연동,개발자 도구,웹훅 설정,이벤트 기반 웹훅 설정,Low,X
고급 설정,API 연동,개발자 도구,데이터 내보내기,채널 데이터 백업 및 내보내기,Medium,X
고급 설정,API 연동,개발자 도구,개발자 문서,API 사용 가이드 및 문서,Low,X
고급 설정,데이터 관리,데이터 관리,채널 데이터 백업,채널 전체 데이터 백업,Medium,X
고급 설정,데이터 관리,데이터 보안,콘텐츠 데이터 내보내기,업로드한 콘텐츠 목록 내보내기,Medium,X
고급 설정,데이터 관리,데이터 보안,팬 데이터 내보내기,랜 목록과 통계 내보내기,Medium,X
고급 설정,데이터 관리,데이터 보안,계정 삭제 요청,채널 및 계정 완전 삭제 신청,Low,X
채널 홈,홈,전체,인기 콘텐츠,전체 콘텐츠 중 인기 콘텐츠,High,X
채널 홈,홈,전체,전체 콘텐츠,전체 콘텐츠,High,O
채널 홈,홈,VR 영상,인기 콘텐츠,VR 영상 콘텐츠 중 인기 콘텐츠,High,X
채널 홈,홈,VR 영상,전체 콘텐츠,전체 VR 영상 콘텐츠,High,X
채널 홈,홈,일반 영상,인기 콘텐츠,일반 영상 콘텐츠 중 인기 콘텐츠,High,X
채널 홈,홈,일반 영상,전체 콘텐츠,전체 일반 영상 콘텐츠,High,X
채널 홈,홈,이미지,인기 콘텐츠,일반 이미지 콘텐츠 중 인기 콘텐츠,High,X
채널 홈,홈,이미지,전체 콘텐츠,전체 이미지 콘텐츠,High,X
채널 홈,홈,XR TOUR,인기 콘텐츠,일반 XR TOUR 콘텐츠 중 인기 콘텐츠,High,X
채널 홈,홈,XR TOUR,전체 콘텐츠,전체 XR TOUR 콘텐츠,High,X
채널 홈,멤버십,멤버십 소개,멤버십 안내,멤버십 전체 소개,High,O
채널 홈,멤버십,멤버십 소개,멤버십 변경,가입한 멤버십 표시 및 변경,High,O
채널 홈,멤버십,멤버십 콘텐츠,멤버십 콘텐츠,멤버십 별 이용 가능한 콘텐츠 ,High,X
채널 홈,단건 구매,전체,전체 콘텐츠,단건 구매로 이용 가능한 콘텐츠,High,X
채널 홈,단건 구매,금액대별 콘텐츠,금액대별 콘텐츠,금액대별 콘텐츠,High,X
채널 홈,VROOK,VROOK 소개,VROOK 소개,VROOK 소개,High,X
채널 홈,VROOK,패키지 안내,패키지 구성 소개,세부 패키지 구성 콘텐츠 및 금액 안내 + 구매하기,High,X
채널 홈,VROOK,콘텐츠 안내,무료 콘텐츠,미끼 상품 역할을 하는 공개된 콘텐츠,High,X
채널 홈,VROOK,콘텐츠 안내,VROO 콘텐츠,VROOK 구매 시 이용 가능한 콘텐츠,High,X
채널 홈,XR팬미팅,XR팬미팅 소개,XR팬미팅 소개,XR팬미팅 소개,High,X
채널 홈,XR팬미팅,패키지 안내,패키지 구성 소개,세부 패키지 구성 콘텐츠 및 금액 안내 + 구매하기,High,X
채널 홈,XR팬미팅,콘텐츠 안내,무료 콘텐츠,미끼 상품 역할을 하는 공개된 콘텐츠,High,X
채널 홈,XR팬미팅,콘텐츠 안내,XR 팬미팅 콘텐츠,XR 팬미팅 구매 시 이용 가능한 콘텐츠,High,X
채널 홈,커뮤니티,커뮤니티 소개,커뮤니티 소개,커뮤니티의 각 기능 소개,High,X
채널 홈,커뮤니티,공지사항,공지사항 목록,공지사항 확인,High,X
채널 홈,커뮤니티,게시글,게시글 목록,"게시글 확인 및 좋아요, 댓글",High,X
채널 홈,커뮤니티,팬톡,채팅방 목록,채팅방 목록을 상세 정보와 함께 표시 + 채팅방 입장,High,X
채널 홈,커뮤니티,팬톡,채팅방 참여,참여 가능한 채팅방에 입장하고 자유롭게 대화,High,X
채널 홈,커뮤니티,이벤트,이벤트 목록,이벤트 목록을 상세 정보와 함께 표시 + 이벤트 참여,Low,X
채널 홈,커뮤니티,팬 투표,투표 목록,투표 목록을 상세 정보와 함께 표시 + 투표,Medium,X
채널 홈,커뮤니티,팬미팅,팬미팅 목록,팬미팅 목록을 상세 정보와 함께 표시 + 팬미팅 신청,Low,X
채널 홈,커뮤니티,팬 통계,팬 커뮤니티 통계,"총 팬수, 신규 팬, 멤버십 팬, 등급별 분포, 레벨 분포",High,X
채널 홈,커뮤니티,팬 통계,이달의 톱 팬,활동 점수가 가장 높은 팬부터 나열,High,X
채널 홈,커뮤니티,팬 통계,최근 팬 활동,팬들이 활동한 액션 기준으로 최근 순 노출,High,X
채널 홈,후원,현재 후원 목표,후원 목표와 금액 소개,"후원 목표 및 설명, 금액, 달성률, 참여자, 마감일 노출",Medium,X
채널 홈,후원,후원하기,후원금액 선택,후원 금액 선택하여 후원,Medium,X
채널 홈,후원,후원 현황 카드,모든 후원에 대한 통계,그동안 진행된 모든 후원에 대한 통계값,Medium,X
채널 홈,후원,톱 후원자,톱 후원자 소개,후원 금액별 내림차순 정렬,Medium,X
채널 홈,후원,최근 후원 내역,후원 내역 실시간 노출,실시간 후원 내역 노출,Medium,X
채널 홈,후원,후원 혜택,후원 등급 별 리워드,후원 등급 별 리워드 상세 소개,Medium,X
채널 홈,소개,채널 정보,채널 정보 상세 내용,채널 정보 상세 내용,High,O
채널 홈,소개,콘텐츠 통계,콘텐츠 통계 상세 내용,"영상수, 조회수, 구독자수, 업로드 일정",Medium,X
채널 홈,소개,연락처&소셜미디어,연락처&소셜미디어,연락처&소셜미디어,High,X
채널 홈,소개,자주 묻는 질문,자주 묻는 질문,자주 묻는 질문,Medium,X
채널 홈,내 활동,활동 요약,전체 활동 요약 대시보드,"활동 레벨, 이번달 활동, 전체 활동 통계",Medium,X
채널 홈,내 활동,배지 & 업적,수집한 배지,배지 내용과 획득일,Medium,X
채널 홈,내 활동,내 댓글,내가 쓴 댓글 목록,내가 쓴 댓글 내용과 영상 및 좋아요 수,Medium,X
채널 홈,내 활동,관심 콘텐츠,관심 콘텐츠,내가 좋아요 누른 콘텐츠 목록과 누른 일자,Medium,X
채널 홈,내 활동,구매 내역,구매 내역,해당 채널에 구매한 내역 ,Medium,X
채널 홈,내 활동,후원 내역,후원 내역,크리에이터에게 후원한 내역,Medium,X
채널 홈,내 활동,이벤트 참여,이벤트 참여 기록,참여한 이벤트 및 당첨 여부 표시,Low,X
채널 홈,내 활동,팬 랭킹,팬 랭킹,나의 랭킹과 카테고리별 랭킹 표시,Medium,X